Internal Policy Section,UAE IA - Control (Reference),ISO 27001:2022 Mapping,Compliance Status,Evidence Text,Mapping Date
Section INTRODUCTION,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section PURPOSE,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section Establish asset register: Development and maintenance of an asset register.,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section SCOPE,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section STATEMENT,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section Asset Inventory,T1.2.1,A.5.23,Fully Addressed,"<CLIENT> shall: Identify assets relevant in the information lifecycle (creation, processing, storage, transmission, deletion, destruction, and protection) and document their importance. Ensure that al",2026-01-23
Section Asset Inventory,T1.2.1,A.5.9,Fully Addressed,"<CLIENT> shall: Identify assets relevant in the information lifecycle (creation, processing, storage, transmission, deletion, destruction, and protection) and document their importance. Ensure that al",2026-01-23
Section Asset Inventory,T1.2.2,A.5.23,Fully Addressed,"<CLIENT> shall: Identify assets relevant in the information lifecycle (creation, processing, storage, transmission, deletion, destruction, and protection) and document their importance. Ensure that al",2026-01-23
Section Asset Inventory,T1.2.2,A.5.9,Fully Addressed,"<CLIENT> shall: Identify assets relevant in the information lifecycle (creation, processing, storage, transmission, deletion, destruction, and protection) and document their importance. Ensure that al",2026-01-23
Section Asset Ownership,T1.2.2,A.5.15,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T1.2.2,A.5.16,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T1.2.2,A.5.17,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T1.2.2,A.5.9,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.1.1,A.5.15,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.1.1,A.5.16,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.1.1,A.5.17,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.1.1,A.5.9,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.2.1,A.5.15,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.2.1,A.5.16,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.2.1,A.5.17,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.2.1,A.5.9,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Labelling,T1.3.2,A.5.13,Fully Addressed,<CLIENT> shall: Label information assets in physical and electronic formats according to the established information classification scheme as per the <CLIENT> Data Security Policy (<CLIENT>-ORG-IMS-PO,2026-01-23
Section Asset Handling,T1.3.1,A.5.13,Fully Addressed,"<CLIENT> shall: Develop procedures for handling, processing, storing, and communicating information consistent with its classification level. The following items should be considered, at a minimum: Ac",2026-01-23
Section Asset Handling,T1.3.2,A.5.13,Fully Addressed,"<CLIENT> shall: Develop procedures for handling, processing, storing, and communicating information consistent with its classification level. The following items should be considered, at a minimum: Ac",2026-01-23
Section Removable Media Management,T1.4.1,A.5.10,Fully Addressed,<CLIENT> shall: Ensure that all information is stored only in organization authorized media. Ensure that contents of any re-usable media that are to be removed from the organization is made unrecovera,2026-01-23
Section Removable Media Management,T1.4.1,A.5.17,Fully Addressed,<CLIENT> shall: Ensure that all information is stored only in organization authorized media. Ensure that contents of any re-usable media that are to be removed from the organization is made unrecovera,2026-01-23
Section Removable Media Management,T1.4.1,A.5.23,Fully Addressed,<CLIENT> shall: Ensure that all information is stored only in organization authorized media. Ensure that contents of any re-usable media that are to be removed from the organization is made unrecovera,2026-01-23
Section Removable Media Management,T1.4.1,A.5.24,Fully Addressed,<CLIENT> shall: Ensure that all information is stored only in organization authorized media. Ensure that contents of any re-usable media that are to be removed from the organization is made unrecovera,2026-01-23
Section Removable Media Management,T1.4.2,A.5.10,Fully Addressed,<CLIENT> shall: Ensure that all information is stored only in organization authorized media. Ensure that contents of any re-usable media that are to be removed from the organization is made unrecovera,2026-01-23
Section Removable Media Management,T1.4.2,A.5.17,Fully Addressed,<CLIENT> shall: Ensure that all information is stored only in organization authorized media. Ensure that contents of any re-usable media that are to be removed from the organization is made unrecovera,2026-01-23
Section Removable Media Management,T1.4.2,A.5.23,Fully Addressed,<CLIENT> shall: Ensure that all information is stored only in organization authorized media. Ensure that contents of any re-usable media that are to be removed from the organization is made unrecovera,2026-01-23
Section Removable Media Management,T1.4.2,A.5.24,Fully Addressed,<CLIENT> shall: Ensure that all information is stored only in organization authorized media. Ensure that contents of any re-usable media that are to be removed from the organization is made unrecovera,2026-01-23
Section Disposal of Media,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section Physical Media Transfer,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section Acceptable Use of Assets,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section Bring Your Own Device (BYOD) Arrangements,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section ENFORCEMENT AND EXCEPTIONS,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section MONITORING AND REVIEW,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
